room,bedrooms,bathrooms,area,wrong_rent,rent,period
N0501,2,2,1045,2150,2150,14
N0517,2,2,1045,2266,2266,14
N0609,2,2,1100,2000,2000,14
N0709,2,2,1100,1900,1900,12
N0710,2,2,1135,2300,2300,12
N0801,2,2,1045,2100,1925,13
N1110,2,2,1135,2100,1990,13
N1202,2,2,1090,2000,2000,12
N1209,2,2,1100,1950,1950,14
N1416,2,2,1090,2300,2300,12
N1710,2,2,1135,2100,2100,13
N1810,2,2,1135,2066,2000,13
N1910,2,2,1135,2065,2005,13
N2001,2,2,1045,2095,2020,13
N2007,2,2,1100,2000,2000,12
N2201,2,2,1045,1991,1955,14
N2401,2,2,1045,2050,2050,13
N2502,2,2,1090,2095,2035,14
N2610,2,2,1135,2095,2095,12
N2709,2,2,1100,2070,2025,14
N2710,2,2,1135,2292,2100,13
N2714,2,2,1030,1995,1990,14
N2801,2,2,1045,2050,1965,14
N2802,2,2,1090,2035,2000,14
N2807,2,2,1100,2200,2020,15
N3002,2,2,1090,2350,2350,12
N3004,2,2,1030,2000,2000,14
N3114,2,2,1030,2026,2020,13
N3201,2,2,1045,1982,1965,18
N3202,2,2,1090,2110,2060,14
N3207,2,2,1100,2119,2050,15
N3310,2,2,1135,2325,2260,13
N3402,2,2,1090,2050,2050,15
N3504,2,2,1030,2050,2050,12
N3507,2,2,1100,2193,2060,15
N3602,2,2,1090,2395,2395,15
N3604,2,2,1030,2400,2400,12
S0301,2,2,1045,2091,2050,14
S0309,2,2,1130,2161,2161,13
S0401,2,2,1045,2150,2150,14
S0404,2,2,1095,1950,1910,13
S0412,2,2,1095,1985,1985,15
S0417,2,2,1045,2075,2075,15
S0510,2,2,1105,2125,2125,12
S0601,2,2,1045,2231,2225,14
S0704,2,2,1095,2295,2295,13
S0710,2,2,1105,2050,1950,13
S1001,2,2,1045,2325,2325,14
S1007,2,2,1130,2095,2095,13
S1504,2,2,1095,2050,2050,13
S1510,2,2,1105,2200,1980,13
S1604,2,2,1095,2000,1990,13
S1609,2,2,1130,2170,1970,14
S1701,2,2,1045,2059,1970,13
S1704,2,2,1095,2050,2000,13
S1806,2,2,1105,2200,2200,13
S1810,2,2,1105,1995,1990,13
S2009,2,2,1130,2083,1970,14
S2106,2,2,1105,2050,2040,14
S2112,2,2,1095,2026,2020,18
S2206,2,2,1105,2068,1970,14
S2207,2,2,1130,2085,2085,12
S2310,2,2,1105,2000,2000,15
S2401,2,2,1045,2109,2025,13
S2404,2,2,1095,2020,2010,15
S2510,2,2,1105,2192,2050,13
S2610,2,2,1105,2112,2060,13
S2701,2,2,1045,2071,2035,13
S2801,2,2,1045,2085,2040,13
S2804,2,2,1095,1992,1925,13
S2910,2,2,1105,1995,1995,12
S3012,2,2,1095,1993,1993,12
S3101,2,2,1045,2183,2050,13
S3106,2,2,1105,2223,2000,14
S3107,2,2,1130,2150,2150,12
S3304,2,2,1095,2300,2250,13
S3412,2,2,1095,2120,2120,12
S3507,2,2,1130,2140,2000,14
S3610,2,2,1105,2145,2145,14
